exposure	outcome_phenocode	method	nsnp	b	se	pval
BMI	coronary_heart	Weighted median	490	0.323678619719941	0.0272554445522873	1.58224416624599e-32
BMI	coronary_heart	Inverse variance weighted	490	0.357258405871401	0.0245994868048354	8.66310972309977e-48
BMI	coronary_heart	Simple mode	490	0.289729308910252	0.108068706715432	0.00758883892634553
BMI	coronary_heart	Weighted mode	490	0.260723131412036	0.058740645756211	1.12027035484511e-05
BMI	deaf	MR Egger	489	-0.132380085789712	0.057153643678582	0.0209608581567922
BMI	deaf	Weighted median	489	-0.0446917610398692	0.0286555424897553	0.118849675485779
BMI	deaf	Inverse variance weighted	489	0.0207485669869713	0.0217367300678356	0.339810635628281
BMI	deaf	Simple mode	489	-0.0303840295108913	0.113243507866228	0.788576372706682
BMI	deaf	Weighted mode	489	-0.118241359508696	0.0602933594384084	0.0504355168229372
BMI	depression	MR Egger	492	0.0530175536058286	0.0590114107723321	0.36939821674529
BMI	depression	Weighted median	492	0.122391644517201	0.0281215910364266	1.34759509376466e-05
BMI	depression	Inverse variance weighted	492	0.0988215614821286	0.0222520343499656	8.95366158174132e-06
BMI	depression	Simple mode	492	0.187585629532565	0.0963638192539584	0.0521478790116106
BMI	depression	Weighted mode	492	0.135970558635634	0.0473228492606574	0.00423867428075595
BMI	diabetes_type_2	MR Egger	487	1.07611137426172	0.0948673129205485	1.29638259352572e-26
BMI	diabetes_type_2	Weighted median	487	0.983745183797185	0.0358882694038097	2.00966700409197e-165
BMI	diabetes_type_2	Inverse variance weighted	487	0.98045212253812	0.0363619391060818	3.94173676827337e-160
BMI	diabetes_type_2	Simple mode	487	1.04410799830498	0.100803642693509	7.50689785637938e-23
BMI	diabetes_type_2	Weighted mode	487	0.999938849639538	0.0836409056266375	4.67940770778788e-29
BMI	diverticuli	MR Egger	490	0.0411260323458071	0.0668155064763139	0.538500761788758
BMI	diverticuli	Weighted median	490	0.217611920207202	0.0355274560129192	9.0583432464656e-10
BMI	diverticuli	Inverse variance weighted	490	0.192313576217093	0.0255664475504933	5.39000853688279e-14
BMI	diverticuli	Simple mode	490	0.188714428587718	0.119191096978871	0.114001197552885
BMI	diverticuli	Weighted mode	490	0.216250684791049	0.0556275771319847	0.00011527492706589
BMI	ED	MR Egger	492	0.260180163793786	0.118178241475797	0.0281595571617532
BMI	ED	Weighted median	492	0.315714270180976	0.0680132223265842	3.45129197212267e-06
BMI	ED	Inverse variance weighted	492	0.325721471018455	0.0445052882353569	2.50358739024134e-13
BMI	ED	Simple mode	492	0.225913415463561	0.219319630453707	0.303486754893217
BMI	ED	Weighted mode	492	0.288417150182144	0.118192574061849	0.015030508574339
BMI	enthesopathy_lower	MR Egger	491	0.309123379323947	0.0866959397885961	0.000398700905171182
BMI	enthesopathy_lower	Weighted median	491	0.259864410757376	0.0530751776306025	9.77289195558363e-07
BMI	enthesopathy_lower	Inverse variance weighted	491	0.274096713812992	0.0320853922250286	1.3109200060029e-17
BMI	enthesopathy_lower	Simple mode	491	0.0524881475456205	0.15712334266474	0.738479492026499
BMI	enthesopathy_lower	Weighted mode	491	0.17319435362178	0.102578428683373	0.0919689783079223
BMI	enthesopathy_shoulder	MR Egger	489	0.17320702813678	0.0688399409642109	0.0121871739521301
BMI	enthesopathy_shoulder	Weighted median	489	0.157924357832392	0.0386389072798957	4.36639146566466e-05
BMI	enthesopathy_shoulder	Inverse variance weighted	489	0.218885310334465	0.0265541523032126	1.67975565143574e-16
BMI	enthesopathy_shoulder	Simple mode	489	0.154616734582105	0.11087046558013	0.163779748060637
BMI	enthesopathy_shoulder	Weighted mode	489	0.132227075450732	0.0549840176658075	0.0165515354622011
BMI	enthesopathy_upper	MR Egger	492	0.121652651909223	0.0654177939718794	0.0635375041872201
BMI	enthesopathy_upper	Weighted median	492	0.125831247349221	0.0373928287308618	0.00076511180145236
BMI	enthesopathy_upper	Inverse variance weighted	492	0.164309641179666	0.0246478017100536	2.62332712667674e-11
BMI	enthesopathy_upper	Simple mode	492	0.0846537891295123	0.111929748651326	0.449824993374013
BMI	enthesopathy_upper	Weighted mode	492	0.111940005142651	0.0601039138356567	0.0631379808156837
BMI	essential_tremor	MR Egger	492	-0.173151440285135	0.316782569016341	0.584906521938
BMI	essential_tremor	Weighted median	492	-0.0645760878389165	0.187408796745594	0.730415099904419
BMI	essential_tremor	Inverse variance weighted	492	0.0512280731971297	0.119329194550816	0.667704612085346
BMI	essential_tremor	Simple mode	492	-0.216689778087929	0.595866217141356	0.716272116117263
BMI	essential_tremor	Weighted mode	492	-0.045567492387427	0.358125364574137	0.89880337618786
BMI	female_genital_prolapse	MR Egger	489	0.0874638079481893	0.0949199014281182	0.35727251649588
BMI	female_genital_prolapse	Weighted median	489	0.152880519778319	0.0523159869504747	0.00347509772034536
BMI	female_genital_prolapse	Inverse variance weighted	489	0.121212969206743	0.0356717220775882	0.000678772372869674
BMI	female_genital_prolapse	Simple mode	489	0.066890179898853	0.147917923456839	0.651317595440914
BMI	female_genital_prolapse	Weighted mode	489	0.181459057154896	0.0772770217298464	0.0192645199386546
BMI	fibromatosis	MR Egger	492	-0.477076800967638	0.150551998799748	0.00162607729204719
BMI	fibromatosis	Weighted median	492	-0.283238822709649	0.0843258871348163	0.000782647956830216
BMI	fibromatosis	Inverse variance weighted	492	-0.221413000132665	0.0568600092080718	9.86037602686566e-05
BMI	fibromatosis	Simple mode	492	-0.136684037385882	0.261682302960263	0.601677435806947
BMI	fibromatosis	Weighted mode	492	-0.243325297877296	0.202687077257804	0.230525102435781
BMI	fibromyalgia	MR Egger	492	0.11829507056664	0.191626731616428	0.537310236557765
BMI	fibromyalgia	Weighted median	492	0.133643235637362	0.108858819299915	0.219569047803512
BMI	fibromyalgia	Inverse variance weighted	492	0.321646543847899	0.072283040816021	8.59421604643403e-06
BMI	fibromyalgia	Simple mode	492	0.155059728776925	0.376100668251035	0.680312306458782
BMI	fibromyalgia	Weighted mode	492	-0.138406859067043	0.218620584894604	0.526968567153591
BMI	gastritis_duodenitis	MR Egger	492	0.0747883700428703	0.0639399577248062	0.242704187904566
BMI	gastritis_duodenitis	Weighted median	492	0.182673001436828	0.0375388388203136	1.13741347830125e-06
BMI	gastritis_duodenitis	Inverse variance weighted	492	0.214148468452603	0.0242041969463744	8.94408415305436e-19
BMI	gastritis_duodenitis	Simple mode	492	0.12500461000629	0.125145875973301	0.318349099254045
BMI	gastritis_duodenitis	Weighted mode	492	0.182025993368353	0.0749723474990953	0.0155445388734304
BMI	glaucoma	MR Egger	492	0.275864272344624	0.121562144764842	0.0236822863378884
BMI	glaucoma	Weighted median	492	-0.0524266607645666	0.0534478182501763	0.326644864073976
BMI	glaucoma	Inverse variance weighted	492	-0.0474842009045102	0.0461511148192806	0.303533604456228
BMI	glaucoma	Simple mode	492	-0.0230075492245945	0.145676063424711	0.874571866422759
BMI	glaucoma	Weighted mode	492	-0.0230075492245945	0.160589610062175	0.886136335543062
BMI	GORD	MR Egger	484	0.0832077594023038	0.063250722152128	0.188959703278243
BMI	GORD	Weighted median	484	0.205208427326351	0.0324827967353095	2.65915328049288e-10
BMI	GORD	Inverse variance weighted	484	0.290034577046293	0.0246538267689084	5.96313032150579e-32
BMI	GORD	Simple mode	484	0.285818246562792	0.141276152015158	0.0436113643309285
BMI	GORD	Weighted mode	484	0.0555541652004616	0.0777376532927754	0.475178923017698
BMI	gout	MR Egger	491	0.389320804785539	0.0493840525674308	2.08836112845036e-14
BMI	gout	Weighted median	491	0.370333748049622	0.0241084670941358	2.98242995124487e-53
BMI	gout	Inverse variance weighted	491	0.382461843157613	0.019423273551239	2.58035821869248e-86
BMI	gout	Simple mode	491	0.372957671270349	0.0738501048602625	6.23667958563576e-07
BMI	gout	Weighted mode	491	0.372957671270349	0.0542577095372793	1.90866656072683e-11
BMI	HF	MR Egger	487	0.648457481199262	0.0697544353006832	4.95035575960421e-19
BMI	HF	Weighted median	487	0.526877506982595	0.0375171169468736	8.42508901962285e-45
BMI	HF	Inverse variance weighted	487	0.525831849752941	0.0259927366304607	5.33533959151961e-91
BMI	HF	Simple mode	487	0.486619367218852	0.102230067235452	2.55727508157539e-06
BMI	HF	Weighted mode	487	0.511630428995966	0.0637388797314657	7.57325269132355e-15
BMI	hypertension	MR Egger	489	0.516618915393977	0.0709140054028242	1.30315802619683e-12
BMI	hypertension	Weighted median	489	0.547275128008736	0.0262541330105641	1.68171616621427e-96
BMI	hypertension	Inverse variance weighted	489	0.581587018608112	0.0270986237994154	3.5381932560587e-102
BMI	hypertension	Simple mode	489	0.56209110879177	0.0835650486996455	4.88132249509385e-11
BMI	hypertension	Weighted mode	489	0.529103688786104	0.0442511221314211	4.4656985310362e-29
BMI	hyperthyroid	MR Egger	487	0.364336509073348	0.123318743017962	0.00328476101949684
BMI	hyperthyroid	Weighted median	487	0.182387574975149	0.0760396148325164	0.0164584996812265
BMI	hyperthyroid	Inverse variance weighted	487	0.115950669555565	0.047233753276417	0.014095259689264
BMI	hyperthyroid	Simple mode	487	0.288952084341579	0.207926644761177	0.165261470864908
BMI	hyperthyroid	Weighted mode	487	0.207064218220878	0.119816764350116	0.0845922137125429
BMI	hypothyroid	MR Egger	488	0.353238579845378	0.0857509594621178	4.46561778211505e-05
BMI	hypothyroid	Weighted median	488	0.206311947145983	0.0368392957934207	2.13953049981059e-08
BMI	hypothyroid	Inverse variance weighted	488	0.215131389099458	0.0329953944754541	7.02872627509914e-11
BMI	hypothyroid	Simple mode	488	0.312657680142548	0.119592631127382	0.00921652236666716
BMI	hypothyroid	Weighted mode	488	0.241035761496052	0.063649057865292	0.000171563461373441
BMI	IBS	MR Egger	475	-0.0643826356235464	0.136256743358543	0.636780942148358
BMI	IBS	Weighted median	475	-0.00170369251102964	0.0820407507210691	0.983431986624506
BMI	IBS	Inverse variance weighted	475	0.0218595259157103	0.0515547535408852	0.671561422174714
BMI	IBS	Simple mode	475	0.252313338343985	0.280810969247085	0.369366347661634
BMI	IBS	Weighted mode	475	0.163915448649873	0.174453940339222	0.347905662426635
BMI	IDA	MR Egger	492	0.254023458881765	0.083615288478149	0.00250860951133104
BMI	IDA	Weighted median	492	0.22857976147168	0.0521872397771619	1.18682948562535e-05
BMI	IDA	Inverse variance weighted	492	0.277698332639791	0.0314872694089245	1.15090697221387e-18
BMI	IDA	Simple mode	492	0.354531330845203	0.142367548414192	0.013094756358926
BMI	IDA	Weighted mode	492	0.21338849197897	0.089339402740817	0.0172934360152214
BMI	insomnia	MR Egger	492	-0.199475929115804	0.122756554426643	0.104811584467133
BMI	insomnia	Weighted median	492	-0.0871599377076799	0.0770911341618095	0.258219656236313
BMI	insomnia	Inverse variance weighted	492	-0.00746943085033945	0.0463198304717625	0.871890411764988
BMI	insomnia	Simple mode	492	0.102775662923559	0.226323721838563	0.649950965290153
BMI	insomnia	Weighted mode	492	-0.121207019531631	0.133066119936356	0.362806542159185
BMI	intervert_disc	MR Egger	487	0.17631033099501	0.0813718576502823	0.0307421313183764
BMI	intervert_disc	Weighted median	487	0.2011282199172	0.0403963899315739	6.39578411321866e-07
BMI	intervert_disc	Inverse variance weighted	487	0.267348831368158	0.0295390759809767	1.42076031323411e-19
BMI	intervert_disc	Simple mode	487	0.306173772845184	0.123171271846383	0.0132626941035915
BMI	intervert_disc	Weighted mode	487	0.13783345067221	0.0818738145755482	0.0929231412964996
BMI	isch_stroke_tia	MR Egger	492	-0.0254425332943969	0.104400879600049	0.807564880615676
BMI	isch_stroke_tia	Weighted median	492	0.109067777337793	0.0592979366428148	0.0658683896010047
BMI	isch_stroke_tia	Inverse variance weighted	492	0.11406090989082	0.0393709806612539	0.00376652802659079
BMI	isch_stroke_tia	Simple mode	492	0.163129272647281	0.180467777726778	0.366478632358065
BMI	isch_stroke_tia	Weighted mode	492	0.0869645176351814	0.113564106344092	0.44417833782897
BMI	migraine	MR Egger	490	-0.255764850661935	0.0787666512499227	0.00124601154255466
BMI	migraine	Weighted median	490	-0.0837917143784577	0.0381315746271893	0.0279892859820863
BMI	migraine	Inverse variance weighted	490	-0.0128357846207656	0.0294137391690538	0.662555692501675
BMI	migraine	Simple mode	490	-0.0556447715977577	0.131246974670493	0.671774176336302
BMI	migraine	Weighted mode	490	-0.137445056924781	0.0685200849346702	0.0454162627117012
BMI	OA	MR Egger	490	0.381772914414749	0.0560870475019327	2.93772917182531e-11
BMI	OA	Weighted median	490	0.390128960540191	0.0235739001381313	1.62270266473226e-61
BMI	OA	Inverse variance weighted	490	0.420279998875035	0.0193390190900721	1.01740853515276e-104
BMI	OA	Simple mode	490	0.461211432784185	0.0878048886101325	2.24110815157266e-07
BMI	OA	Weighted mode	490	0.435384736793488	0.0575058743132823	1.85856515167646e-13
BMI	obesity	MR Egger	490	1.61877482970518	0.0692544986730807	1.23058168457242e-81
BMI	obesity	Weighted median	490	1.53606762011979	0.0365296038043395	0
BMI	obesity	Inverse variance weighted	490	1.57511757756615	0.022925739415218	0
BMI	obesity	Simple mode	490	1.58169668260799	0.126946011211146	3.8629885613593e-31
BMI	obesity	Weighted mode	490	1.59036255590676	0.0973614957775636	3.50210364162848e-48
BMI	osteoporosis	MR Egger	492	-0.304057923476052	0.097647680027541	0.00195484840423966
BMI	osteoporosis	Weighted median	492	-0.342566127431757	0.055872444545051	8.72089082917205e-10
BMI	osteoporosis	Inverse variance weighted	492	-0.267397916697517	0.036761146500864	3.49183284080013e-13
BMI	osteoporosis	Simple mode	492	-0.565111360692859	0.164381328170729	0.000636300839538984
BMI	osteoporosis	Weighted mode	492	-0.399745666936424	0.0849403147578751	3.28698241594098e-06
BMI	periph_neuro	MR Egger	492	0.338574709446424	0.105763285651032	0.00145718698984854
BMI	periph_neuro	Weighted median	492	0.442575383845026	0.0607228115384866	3.13533237691021e-13
BMI	periph_neuro	Inverse variance weighted	492	0.429658299389485	0.0398707682596296	4.45573458680033e-27
BMI	periph_neuro	Simple mode	492	0.598728597230356	0.214649849211718	0.00548701937733787
BMI	periph_neuro	Weighted mode	492	0.501088326752494	0.120727827744728	3.90985870798093e-05
BMI	peripheral_arterial	MR Egger	492	0.620402123169486	0.167382834895461	0.000234131475188326
BMI	peripheral_arterial	Weighted median	492	0.545686337537482	0.0957784991478842	1.21663806954211e-08
BMI	peripheral_arterial	Inverse variance weighted	492	0.557584955084338	0.0629890712051524	8.58950503664557e-19
BMI	peripheral_arterial	Simple mode	492	0.675407812562218	0.294365744586725	0.0221857567061167
BMI	peripheral_arterial	Weighted mode	492	0.552200682721783	0.195430229031071	0.0049120180355737
BMI	PMR	MR Egger	492	-0.111455595418709	0.170636530698123	0.513949519666296
BMI	PMR	Weighted median	492	0.223986199519456	0.105569678090611	0.0338637238393898
BMI	PMR	Inverse variance weighted	492	0.26170267483018	0.0645522029740859	5.03223877883936e-05
BMI	PMR	Simple mode	492	0.336391039545251	0.308907865450532	0.276701820168855
BMI	PMR	Weighted mode	492	0.158592971415787	0.158128187887178	0.316384163568659
BMI	pri_bladder	MR Egger	492	-0.358812879127	0.179648955450423	0.0463450823829645
BMI	pri_bladder	Weighted median	492	0.0838829175822066	0.120242691342475	0.485418973956284
BMI	pri_bladder	Inverse variance weighted	492	0.202722543377179	0.0677258446013034	0.00275994711890275
BMI	pri_bladder	Simple mode	492	0.166610773869446	0.337320990344521	0.621581065448685
BMI	pri_bladder	Weighted mode	492	0.0578412390223075	0.196693342527608	0.768830131505081
BMI	pri_breast	MR Egger	483	-0.430571684713336	0.0803384972680412	1.2973970216628e-07
BMI	pri_breast	Weighted median	483	-0.163772851035476	0.0370883133009022	1.00658716586567e-05
BMI	pri_breast	Inverse variance weighted	483	-0.16499080598605	0.0314312710518517	1.52714257869773e-07
BMI	pri_breast	Simple mode	483	-0.0354347951222529	0.139721079896307	0.799904280381124
BMI	pri_breast	Weighted mode	483	-0.315856459412093	0.174429846040312	0.0707952664510112
BMI	pri_colorectal	MR Egger	489	0.208295475430374	0.110455103842194	0.0599177237373806
BMI	pri_colorectal	Weighted median	489	0.0769684910083431	0.0717729553875762	0.283545577087106
BMI	pri_colorectal	Inverse variance weighted	489	0.0586466393868262	0.0421007208830216	0.163617383078219
BMI	pri_colorectal	Simple mode	489	0.20334291045338	0.199298705764823	0.308095448129547
BMI	pri_colorectal	Weighted mode	489	0.115840502951181	0.123703667926924	0.349512201228287
BMI	pri_prost	MR Egger	489	0.0139263986670943	0.107203214156215	0.896694007657292
BMI	pri_prost	Weighted median	489	-0.0771699523596903	0.0663439836000626	0.244756739044222
BMI	pri_prost	Inverse variance weighted	489	-0.0961120894944029	0.0409284467838916	0.0188595497615873
BMI	pri_prost	Simple mode	489	-0.17506633234974	0.17579088348018	0.319802804418794
BMI	pri_prost	Weighted mode	489	-0.0905783999952181	0.114017591307869	0.427334341443615
BMI	pri_skin	MR Egger	490	-0.116863834187102	0.084504139772326	0.167316861300202
BMI	pri_skin	Weighted median	490	-0.0840785601728047	0.0479837744097161	0.0797344420877983
BMI	pri_skin	Inverse variance weighted	490	-0.0788474599482494	0.0323382776674785	0.0147602622610528
BMI	pri_skin	Simple mode	490	-0.017218758242151	0.136645612296112	0.899775541761354
BMI	pri_skin	Weighted mode	490	-0.0512492097400603	0.0808595348913604	0.526504174772846
BMI	psoriasis	MR Egger	489	0.399306521175619	0.102084733164366	0.000104747261215979
BMI	psoriasis	Weighted median	489	0.226038458578224	0.0618489976982378	0.000257500295137945
BMI	psoriasis	Inverse variance weighted	489	0.295948871888184	0.0384460576720678	1.38462359058756e-14
BMI	psoriasis	Simple mode	489	0.194763272421185	0.195017515775064	0.318436772402573
BMI	psoriasis	Weighted mode	489	0.158290698593469	0.113132595796228	0.16240002926999
BMI	RA	MR Egger	479	0.322102349030561	0.103897355326395	0.00204831809111966
BMI	RA	Weighted median	479	0.27361808219978	0.056293655458283	1.17060543637702e-06
BMI	RA	Inverse variance weighted	479	0.27833184533456	0.038680315774334	6.21423367509672e-13
BMI	RA	Simple mode	479	0.298217085191925	0.163085523517868	0.0680835399466062
BMI	RA	Weighted mode	479	0.276475425415106	0.0922313661086504	0.00286254919518574
BMI	raynauds	MR Egger	492	-0.0593512793560503	0.173144266888104	0.731907116367732
BMI	raynauds	Weighted median	492	-0.0838261452177319	0.100870914268534	0.405960101895749
BMI	raynauds	Inverse variance weighted	492	-0.161028221520155	0.0651471370572921	0.0134448970432462
BMI	raynauds	Simple mode	492	0.137862195348665	0.3293061275021	0.675659030598386
BMI	raynauds	Weighted mode	492	0.0838200209960211	0.229913619162783	0.715588033106194
BMI	retinal_detach	MR Egger	492	-0.143903409899265	0.169457008326509	0.396183000204656
BMI	retinal_detach	Weighted median	492	-0.0109935162018428	0.101821436414453	0.914020613679368
BMI	retinal_detach	Inverse variance weighted	492	-0.096780596892046	0.0637689747740724	0.129096277822205
BMI	retinal_detach	Simple mode	492	0.17751064276406	0.256744656940238	0.489647362710004
BMI	retinal_detach	Weighted mode	492	0.00651212010207036	0.166430555416303	0.968804120038058
BMI	schizo	MR Egger	485	0.144793405793313	0.134235826339201	0.281282384334154
BMI	schizo	Weighted median	485	-0.141419981832969	0.0560236967725681	0.0115932693145099
BMI	schizo	Inverse variance weighted	485	-0.1362893182554	0.0481100434255142	0.00461326843291354
BMI	schizo	Simple mode	485	-0.230318226693458	0.199914658824439	0.249855813879577
BMI	schizo	Weighted mode	485	-0.117686548014874	0.112353499528732	0.295407181654167
BMI	scoliosis	MR Egger	490	-0.083927062350511	0.165385071531861	0.612058154602733
BMI	scoliosis	Weighted median	490	-0.033960682407375	0.10685823974446	0.750628601684024
BMI	scoliosis	Inverse variance weighted	490	0.0799414244210249	0.0617919723951615	0.195762635969723
BMI	scoliosis	Simple mode	490	-0.220105543600588	0.326966708054946	0.501154503372354
BMI	scoliosis	Weighted mode	490	-0.167660821357076	0.172204793160346	0.33073010304023
BMI	sinusitis	MR Egger	492	-0.117774195181098	0.101879189109429	0.248237049873319
BMI	sinusitis	Weighted median	492	-0.049500874983267	0.0575740047433146	0.3899113105827
BMI	sinusitis	Inverse variance weighted	492	0.0205275145509888	0.0384355532815119	0.593288809717077
BMI	sinusitis	Simple mode	492	0.0237050345022256	0.18205777440214	0.896456686894936
BMI	sinusitis	Weighted mode	492	-0.0748374348224243	0.095657937577916	0.434389431144162
BMI	sleep_apnoea	MR Egger	485	0.652026486862846	0.0752870731043812	7.08076702705427e-17
BMI	sleep_apnoea	Weighted median	485	0.747432217990385	0.0427775342621646	2.31931545129336e-68
BMI	sleep_apnoea	Inverse variance weighted	485	0.761056957497402	0.0286436627126112	1.51595816206438e-155
BMI	sleep_apnoea	Simple mode	485	0.908170755417069	0.174483140223852	2.87328387578863e-07
BMI	sleep_apnoea	Weighted mode	485	0.920259700756871	0.125160862849836	8.35533267163042e-13
BMI	spondylolisthesis	MR Egger	492	0.246263320449373	0.211923885165612	0.245786264920381
BMI	spondylolisthesis	Weighted median	492	0.470734969439236	0.130333460094714	0.000304109838692504
BMI	spondylolisthesis	Inverse variance weighted	492	0.494090830174123	0.0799454857339055	6.39609222933707e-10
BMI	spondylolisthesis	Simple mode	492	0.910465282326903	0.388592878540727	0.0195286870975851
BMI	spondylolisthesis	Weighted mode	492	0.43038095270083	0.223445133608033	0.0546670469405846
BMI	spondylosis	MR Egger	492	0.198365224504419	0.0835001253498502	0.0179027813885408
BMI	spondylosis	Weighted median	492	0.284870498264553	0.0476371063303551	2.23120298302939e-09
